t,host,txRxDistanceTB,interPacketDelay
1.475000,lteNic,151.826656,0.200000
1.575000,lteNic,151.550086,0.100000
1.675000,lteNic,151.250763,0.100000
1.875000,lteNic,150.600872,0.200000
1.975000,lteNic,150.247666,0.100000
2.075000,lteNic,149.877498,0.100000
2.175000,lteNic,149.489977,0.100000
2.275000,lteNic,149.088349,0.100000
2.375000,lteNic,148.665777,0.100000
2.475000,lteNic,148.228746,0.100000
2.575000,lteNic,147.776754,0.100000
2.875000,lteNic,146.308470,0.300000
2.975000,lteNic,145.780320,0.100000
3.075000,lteNic,145.229238,0.100000
3.175000,lteNic,144.652887,0.100000
3.275000,lteNic,144.055395,0.100000
3.375000,lteNic,143.433502,0.100000
3.575000,lteNic,142.126088,0.200000
3.675000,lteNic,141.445937,0.100000
3.775000,lteNic,140.752146,0.100000
3.875000,lteNic,140.035100,0.100000
3.975000,lteNic,139.295057,0.100000
4.075000,lteNic,138.532043,0.100000
4.138000,lteNic,137.756023,0.063000
4.238000,lteNic,136.955951,0.100000
4.438000,lteNic,135.290606,0.200000
4.538000,lteNic,134.422367,0.100000
4.638000,lteNic,133.539069,0.100000
4.738000,lteNic,132.637989,0.100000
4.938000,lteNic,130.766804,0.200000
5.038000,lteNic,129.800128,0.100000
5.138000,lteNic,128.818276,0.100000
5.238000,lteNic,127.816888,0.100000
5.338000,lteNic,126.793917,0.100000
5.438000,lteNic,125.755308,0.100000
5.634000,lteNic,123.611065,0.196000
5.734000,lteNic,122.507972,0.100000
5.834000,lteNic,121.388940,0.100000
5.934000,lteNic,120.246582,0.100000
6.034000,lteNic,119.080432,0.100000
6.134000,lteNic,117.898487,0.100000
6.234000,lteNic,116.693866,0.100000
6.334000,lteNic,115.475276,0.100000
6.434000,lteNic,114.232805,0.100000
6.546000,lteNic,112.978725,0.112000
6.746000,lteNic,110.431650,0.200000
6.846000,lteNic,109.134124,0.100000
6.946000,lteNic,107.815788,0.100000
7.046000,lteNic,106.484635,0.100000
7.146000,lteNic,105.137050,0.100000
7.246000,lteNic,103.773321,0.100000
7.346000,lteNic,102.397289,0.100000
7.446000,lteNic,100.999187,0.100000
7.546000,lteNic,99.583064,0.100000
7.646000,lteNic,98.149700,0.100000
7.746000,lteNic,96.700938,0.100000
7.846000,lteNic,95.239604,0.100000
7.990000,lteNic,93.788647,0.144000
8.190000,lteNic,90.890174,0.200000
8.290000,lteNic,89.445355,0.100000
8.390000,lteNic,88.004818,0.100000
8.490000,lteNic,86.562089,0.100000
8.590000,lteNic,85.119924,0.100000
8.690000,lteNic,83.685855,0.100000
8.790000,lteNic,82.261460,0.100000
8.890000,lteNic,80.833529,0.100000
8.990000,lteNic,79.413912,0.100000
9.090000,lteNic,78.000825,0.100000
9.190000,lteNic,76.590635,0.100000
9.290000,lteNic,75.188368,0.100000
9.385000,lteNic,73.782922,0.095000
9.485000,lteNic,72.382719,0.100000
9.585000,lteNic,70.992307,0.100000
9.685000,lteNic,69.625177,0.100000
9.785000,lteNic,68.304809,0.100000
9.885000,lteNic,67.030981,0.100000
9.931000,lteNic,65.803448,0.046000
10.031000,lteNic,64.621942,0.100000
10.131000,lteNic,63.486167,0.100000
10.231000,lteNic,62.395727,0.100000
10.331000,lteNic,61.350164,0.100000
10.431000,lteNic,60.349300,0.100000
10.531000,lteNic,59.392742,0.100000
10.631000,lteNic,58.476859,0.100000
10.731000,lteNic,57.603357,0.100000
10.831000,lteNic,56.772903,0.100000
10.931000,lteNic,55.985020,0.100000
11.092000,lteNic,55.239215,0.161000
11.192000,lteNic,54.534981,0.100000
11.292000,lteNic,53.871800,0.100000
11.392000,lteNic,53.249147,0.100000
11.492000,lteNic,52.666492,0.100000
11.592000,lteNic,52.123307,0.100000
11.692000,lteNic,51.619066,0.100000
11.792000,lteNic,51.097124,0.100000
11.892000,lteNic,50.556943,0.100000
11.997000,lteNic,49.996715,0.105000
12.097000,lteNic,49.423774,0.100000
12.197000,lteNic,48.833939,0.100000
12.297000,lteNic,48.226755,0.100000
12.397000,lteNic,47.612264,0.100000
12.497000,lteNic,46.988807,0.100000
12.597000,lteNic,46.356207,0.100000
12.697000,lteNic,45.711632,0.100000
12.797000,lteNic,45.056350,0.100000
12.897000,lteNic,44.391643,0.100000
12.997000,lteNic,43.722819,0.100000
13.097000,lteNic,43.053611,0.100000
13.197000,lteNic,42.379120,0.100000
13.297000,lteNic,41.705939,0.100000
13.397000,lteNic,41.033218,0.100000
13.497000,lteNic,40.364825,0.100000
13.597000,lteNic,39.697919,0.100000
13.697000,lteNic,39.038261,0.100000
13.797000,lteNic,38.386053,0.100000
13.897000,lteNic,37.744787,0.100000
13.997000,lteNic,37.115117,0.100000
14.097000,lteNic,36.501801,0.100000
14.197000,lteNic,35.902621,0.100000
14.297000,lteNic,35.320302,0.100000
14.397000,lteNic,34.757568,0.100000
14.497000,lteNic,34.218015,0.100000
14.597000,lteNic,33.707335,0.100000
14.697000,lteNic,33.229136,0.100000
14.797000,lteNic,32.793366,0.100000
14.807000,lteNic,32.411540,0.010000
14.907000,lteNic,32.076420,0.100000
15.007000,lteNic,31.797908,0.100000
15.107000,lteNic,31.568206,0.100000
15.207000,lteNic,31.404592,0.100000
15.307000,lteNic,31.301373,0.100000
15.407000,lteNic,31.267534,0.100000
15.507000,lteNic,31.304504,0.100000
15.607000,lteNic,31.415081,0.100000
15.707000,lteNic,31.594167,0.100000
15.807000,lteNic,31.846923,0.100000
15.907000,lteNic,32.173552,0.100000
16.007000,lteNic,32.572385,0.100000
16.107000,lteNic,33.038618,0.100000
16.207000,lteNic,33.570931,0.100000
16.399000,lteNic,34.165067,0.192000
16.499000,lteNic,34.815595,0.100000
16.599000,lteNic,35.520056,0.100000
16.699000,lteNic,36.277480,0.100000
16.799000,lteNic,37.081394,0.100000
16.899000,lteNic,37.932128,0.100000
16.999000,lteNic,38.825505,0.100000
17.099000,lteNic,39.764454,0.100000
17.199000,lteNic,40.739571,0.100000
17.299000,lteNic,41.735240,0.100000
17.399000,lteNic,42.731583,0.100000
17.499000,lteNic,43.730833,0.100000
17.599000,lteNic,44.722366,0.100000
17.699000,lteNic,45.702541,0.100000
17.799000,lteNic,46.668147,0.100000
17.899000,lteNic,47.616350,0.100000
17.996000,lteNic,48.544645,0.097000
18.096000,lteNic,49.451578,0.100000
18.196000,lteNic,50.334441,0.100000
18.296000,lteNic,51.191492,0.100000
18.396000,lteNic,52.023085,0.100000
18.496000,lteNic,52.825974,0.100000
18.596000,lteNic,53.598927,0.100000
18.696000,lteNic,54.340848,0.100000
18.796000,lteNic,55.050760,0.100000
18.896000,lteNic,55.727789,0.100000
18.996000,lteNic,56.371155,0.100000
19.098000,lteNic,56.980161,0.102000
19.198000,lteNic,57.554184,0.100000
19.298000,lteNic,58.092669,0.100000
19.398000,lteNic,58.655202,0.100000
19.498000,lteNic,59.241974,0.100000
19.598000,lteNic,59.853176,0.100000
19.698000,lteNic,60.488992,0.100000
19.798000,lteNic,61.149605,0.100000
19.898000,lteNic,61.835175,0.100000
19.998000,lteNic,62.534473,0.100000
20.198000,lteNic,63.995738,0.200000
20.298000,lteNic,64.753749,0.100000
20.398000,lteNic,65.534101,0.100000
20.498000,lteNic,66.335314,0.100000
20.598000,lteNic,67.161422,0.100000
20.698000,lteNic,68.002389,0.100000
20.798000,lteNic,68.864171,0.100000
20.898000,lteNic,69.741375,0.100000
20.998000,lteNic,70.639166,0.100000
21.098000,lteNic,71.557510,0.100000
21.198000,lteNic,72.501532,0.100000
21.298000,lteNic,73.463433,0.100000
21.310000,lteNic,74.449796,0.012000
21.410000,lteNic,75.458306,0.100000
21.510000,lteNic,76.491971,0.100000
21.610000,lteNic,77.551558,0.100000
21.710000,lteNic,78.630335,0.100000
21.810000,lteNic,79.733201,0.100000
21.910000,lteNic,80.852560,0.100000
22.010000,lteNic,81.994877,0.100000
22.110000,lteNic,83.156171,0.100000
22.210000,lteNic,84.333113,0.100000
22.310000,lteNic,85.524891,0.100000
22.410000,lteNic,86.735938,0.100000
22.510000,lteNic,87.968701,0.100000
22.610000,lteNic,89.225956,0.100000
22.710000,lteNic,90.505658,0.100000
22.810000,lteNic,91.812225,0.100000
22.910000,lteNic,93.143458,0.100000
23.010000,lteNic,94.489479,0.100000
23.110000,lteNic,95.856065,0.100000
23.210000,lteNic,97.246679,0.100000
23.310000,lteNic,98.664137,0.100000
23.410000,lteNic,100.105885,0.100000
23.510000,lteNic,101.562630,0.100000
23.610000,lteNic,103.035675,0.100000
23.710000,lteNic,104.503931,0.100000
23.810000,lteNic,105.978650,0.100000
23.910000,lteNic,107.451435,0.100000
24.010000,lteNic,108.929315,0.100000
24.110000,lteNic,110.406836,0.100000
24.210000,lteNic,111.889708,0.100000
24.310000,lteNic,113.378634,0.100000
24.410000,lteNic,114.865241,0.100000
24.510000,lteNic,116.352791,0.100000
24.610000,lteNic,117.846361,0.100000
24.710000,lteNic,119.338331,0.100000
24.810000,lteNic,120.834905,0.100000
24.910000,lteNic,122.321135,0.100000
25.040000,lteNic,123.816625,0.130000
25.140000,lteNic,125.307709,0.100000
25.240000,lteNic,126.801973,0.100000
25.340000,lteNic,128.292646,0.100000
25.440000,lteNic,129.788709,0.100000
25.540000,lteNic,131.291369,0.100000
25.640000,lteNic,132.793337,0.100000
25.740000,lteNic,134.298932,0.100000
25.840000,lteNic,135.804441,0.100000
25.940000,lteNic,137.302177,0.100000
26.040000,lteNic,138.800684,0.100000
26.140000,lteNic,140.310630,0.100000
26.240000,lteNic,141.821747,0.100000
26.340000,lteNic,143.328505,0.100000
26.440000,lteNic,144.830157,0.100000
26.540000,lteNic,146.340510,0.100000
26.640000,lteNic,147.851378,0.100000
26.740000,lteNic,149.357778,0.100000
26.840000,lteNic,150.869896,0.100000
26.940000,lteNic,152.385124,0.100000
27.040000,lteNic,153.892317,0.100000
